#{"t_start": 1746507355.086796, "env_id": "MergeEnv-v0"}
r,l,t
-5.624181,20,139.412914
-6.24504,50,139.715787
-37.496358,50,140.018287
0.174451,31,140.281212
0.220323,22,140.455408
-11.645056,50,140.758877
0.185618,29,140.943436
-4.576925,30,141.134933
0.635372,19,141.264028
-11.161144,50,141.567022
-5.55525,50,141.869627
0.307917,23,142.023765
-11.065641,50,142.344071
-10.623123,50,142.662843
-11.453146,50,142.97121
-4.879769,50,143.274432
-2.252363,25,143.436363
-10.474697,50,143.751756
-12.478012,50,144.054154
-12.56143,50,144.357293
-16.297608,50,144.658954
-12.296825,50,144.960361
-12.597313,50,145.264387
0.597596,19,145.39403
-8.82286,50,145.698644
0.063974,28,145.879368
-11.603424,50,146.181436
0.519476,21,146.321819
-13.380395,50,146.623747
-11.630123,50,146.92668
-15.73292,29,147.111275
-12.650684,50,147.427259
-7.741643,50,147.746357
-11.263813,50,148.05092
-6.32128,26,148.22004
-12.161019,50,148.521343
-38.303266,50,149.356684
-6.343184,50,149.667813
-14.254523,50,149.973165
-9.644463,25,150.136657
0.125066,22,150.284215
-1.355297,21,150.424474
-10.529324,50,150.728469
-12.552501,50,151.030831
-4.389668,28,151.209179
-11.236361,50,151.511418
-6.265684,50,151.815435
-6.783342,50,152.117768
-12.359741,50,152.419377
0.477068,23,152.570544
0.618854,24,152.729842
0.178696,25,152.899378
-12.157741,50,153.231486
0.319659,25,153.402787
-22.089348,50,153.710925
-12.735952,50,154.01335
-7.264546,50,154.328212
0.400642,27,154.504323
-10.188662,50,154.806491
0.368915,26,154.979926
-1.64202,23,155.133115
-11.267686,50,155.435865
0.676673,22,155.584796
-11.965716,50,155.887699
0.092958,30,156.07749
0.244703,29,156.262192
-18.93871,50,156.565243
-10.31191,50,156.867536
-25.396115,22,157.013321
0.021345,22,157.159544
-7.491328,50,157.528286
-0.574344,33,157.757495
-10.847689,50,158.061053
-9.609991,29,158.246592
-4.457771,24,158.403232
-2.987768,21,158.543946
0.302132,26,158.712429
-16.141544,50,159.015378
0.483553,24,159.172135
-7.348785,50,159.475833
0.095179,22,159.623431
0.506631,29,159.807378
-1.849257,25,159.97078
0.449656,25,160.133012
-6.405638,50,160.436045
-13.42446,50,160.740202
-15.270746,50,161.043198
-6.311375,50,161.346209
-10.572835,50,161.648321
-6.380696,50,161.952013
-15.161686,50,162.589712
-20.697246,21,162.736232
0.395286,23,162.887789
-6.385185,50,163.190858
-0.192548,27,163.364284
-6.892582,25,163.537673
-12.554714,24,163.704092
-15.285979,50,164.025271
-10.444423,50,164.334772
-12.041057,50,164.639583
-3.587681,21,164.781992
0.308514,26,164.957625
0.192731,23,165.132099
-0.330525,14,165.368344
-3.506773,20,165.507109
-11.745296,50,165.817163
-0.158227,27,165.991794
-1.964714,37,166.222834
-17.165099,50,166.530518
-15.589929,24,166.691237
-10.167071,50,166.991905
-12.096847,50,167.296158
-12.462506,50,167.598932
-0.352262,22,167.792181
-12.892045,50,168.134085
0.577361,22,168.291107
-52.848972,50,168.596242
-12.651447,20,168.731783
-13.164619,50,169.033664
0.436361,28,169.213651
-11.872948,50,169.516468
-31.276929,50,169.818925
-12.136123,50,170.121889
-10.901558,50,170.424253
-6.409372,25,170.589913
-10.571903,50,170.892407
0.495998,26,171.062405
-12.752296,24,171.226847
-6.194039,50,171.611009
-9.499914,22,171.759104
-11.732514,50,172.062509
-16.810487,50,172.366522
-8.98782,28,172.547492
-14.34389,50,172.84903
0.506083,22,172.996353
-12.344774,50,173.297061
0.537073,30,173.487715
0.516722,22,173.633786
-11.331263,50,173.936565
-6.766763,21,174.079426
0.057385,30,174.27426
-11.310961,50,174.600865
-0.05526,27,174.78808
-4.563665,29,174.981257
-11.74157,50,175.291618
-10.703409,50,175.597468
0.578734,21,176.078587
-12.336128,50,176.392747
-9.560412,19,176.522405
-10.876965,50,176.825241
-2.751712,23,176.977295
-14.859799,50,177.280145
-7.795804,30,177.47185
0.297554,20,177.606911
-11.987306,50,177.910787
-11.477062,50,178.238556
-4.790545,50,178.54284
-10.998293,50,178.84667
-10.384742,19,178.975868
-22.591866,50,179.278911
-0.158329,32,179.482042
-11.050548,50,179.787355
-11.873311,50,180.090145
0.551819,25,180.254669
-6.581737,30,180.445813
-0.016801,27,180.620781
-12.246058,50,180.924627
-6.451829,50,181.227621
0.445486,21,181.36767
-19.852789,50,181.975104
-12.151091,50,182.27922
-11.508195,50,182.583923
-51.668757,30,182.774616
