#{"t_start": 1746506379.11345, "env_id": "MergeEnv-v0"}
r,l,t
-9.748012,50,299.56301
-10.747764,50,300.342567
-8.69409,50,301.121675
-10.722835,50,301.861729
-11.696713,50,302.597976
-8.770631,50,303.467298
-9.699904,50,304.202946
-7.751355,50,304.925281
-15.814711,50,305.654062
-7.74067,50,306.378161
-7.76195,50,307.246999
-7.825977,50,307.974642
-7.724474,50,308.798613
-11.770822,50,309.559935
-8.706481,50,310.296351
-7.817995,50,311.016645
-11.700143,50,311.745914
-7.738943,50,312.460178
-7.949541,50,313.572961
-7.780472,50,314.308836
-7.70081,50,315.036365
-7.857164,50,315.758342
-7.803776,50,316.471479
-7.705787,50,317.182694
-7.753744,50,317.88226
-7.885193,50,318.585619
-8.837437,50,319.314905
-11.696902,50,320.101343
-7.732474,50,320.826237
-8.794144,50,321.569691
-8.772236,50,322.265904
-12.774144,50,322.968676
-8.884015,50,323.833481
-7.770332,50,324.54907
-7.861045,50,325.405813
-14.774072,50,326.117096
-7.717412,50,326.818941
-7.728312,50,327.511323
-8.765714,50,328.218495
-7.729898,50,328.929346
-11.780409,50,329.610949
-7.801135,50,330.360482
-8.783133,50,331.11284
-7.721691,50,331.805433
-7.72664,50,332.491564
-10.722811,50,333.189274
-7.781796,50,333.939294
-8.722921,50,334.654069
-12.698153,50,335.380747
-7.788543,50,336.186137
-7.815887,50,336.997829
-8.701089,50,337.830823
-12.721399,50,338.5268
-9.747788,50,339.246475
-7.705159,50,339.967138
-13.765391,50,340.669015
-10.721225,50,341.413091
-8.72298,50,342.134021
-7.71455,50,342.834894
-9.72409,50,343.551378
-9.708972,50,344.243826
-7.714857,50,345.044192
-7.8268,50,345.734833
-8.709497,50,346.417756
-9.772823,50,347.081516
-7.708316,50,347.748632
-8.884327,50,348.415496
-7.71037,50,349.079528
-7.981476,50,350.094361
-7.826783,50,350.781498
-13.855587,50,351.469773
-7.704379,50,352.185521
-9.759728,50,352.93039
-10.752283,50,353.610091
-12.864438,50,354.356445
-7.720551,50,355.080254
-7.720683,50,355.803144
-13.775427,50,356.506758
-9.886836,50,357.179286
-8.725604,50,357.841028
-7.821315,50,358.508482
-8.710233,50,359.18666
-7.729334,50,359.841066
-7.750122,50,360.497228
-7.694112,50,361.154265
-7.727175,50,361.819511
-7.75379,50,362.478477
-8.745749,50,363.163594
-10.707772,50,363.872024
-9.730317,50,364.582835
-9.8084,50,365.236268
-7.724063,50,365.883568
-7.843297,50,366.523724
-8.884764,50,367.173027
-8.699489,50,367.843956
-12.732547,50,368.486961
-7.834928,50,369.128177
-9.704352,50,369.815985
-14.888957,50,370.458027
-10.724692,50,371.089412
-8.767177,50,371.731486
-7.695905,50,372.369498
-7.733455,50,373.010569
-8.755878,50,373.64954
-8.756826,50,374.366448
-7.72643,50,375.188709
-10.772413,50,375.846118
-9.723197,50,376.486369
-11.750055,50,377.120439
-7.843963,50,377.748917
-11.815883,50,378.377709
-7.796706,50,379.014454
-7.745821,50,379.646675
-8.7116,50,380.272556
-8.807041,50,380.898504
-7.724426,50,381.524758
-9.711006,50,382.154428
-13.784658,50,382.776293
-7.81664,50,383.735301
-7.724288,50,384.429826
-7.836766,50,385.253839
-7.83171,50,385.948105
-11.743033,50,386.596623
-11.772719,50,387.220023
-8.845567,50,387.848667
-8.737619,50,388.476511
-7.730119,50,389.097442
-10.87043,50,389.720366
-11.72742,50,390.358295
-7.746093,50,390.988604
-12.775228,50,391.618509
-7.774423,50,392.242126
-9.727116,50,392.855942
-7.73181,50,393.475887
-8.777184,50,394.092144
-7.806381,50,394.86043
-7.77722,50,395.491873
-7.721343,50,396.192701
-8.77627,50,396.825758
-7.726465,50,397.452571
-7.721321,50,398.118145
-7.816841,50,398.774544
-7.728603,50,399.425191
-9.730785,50,400.06681
-7.768397,50,400.690331
-9.773692,50,401.31462
-8.746305,50,401.940243
-12.722403,50,402.56146
-7.77325,50,403.207113
-7.73653,50,403.825286
-10.73232,50,404.454511
-10.760105,50,405.091657
-7.716658,50,405.713167
-8.828914,50,406.340857
-10.724058,50,407.035076
-7.706182,50,407.664127
-9.799111,50,408.287598
-10.77615,50,408.900772
-10.853915,50,409.519566
-8.730337,50,410.133657
-8.827566,50,410.824102
-8.843852,50,411.443191
-7.721111,50,412.05712
-9.699453,50,412.670585
-11.784087,50,413.28678
-7.876696,50,414.011142
-7.707841,50,414.628799
-7.743988,50,415.315057
-7.928943,50,416.308424
-8.736944,50,416.936536
-10.806223,50,417.685186
-7.711278,50,418.358025
-10.738556,50,418.992711
-7.728554,50,419.610242
-7.826802,50,420.239025
-8.839956,50,420.952823
-7.784022,50,421.66823
-9.703587,50,422.290695
-7.703592,50,422.909751
-7.707497,50,423.524368
-8.774608,50,424.143704
-12.733613,50,424.769942
-7.7787,50,425.412132
-7.730715,50,426.032397
-10.743583,50,426.655799
-9.715273,50,427.273239
-8.719949,50,427.902121
-7.78282,50,428.553806
-7.757283,50,429.238977
-7.862389,50,429.886766
-7.697502,50,430.521481
-8.827601,50,431.142922
-11.837111,50,431.760667
-8.729794,50,432.39108
-9.77389,50,433.135597
-7.727585,50,433.757428
-8.724998,50,434.390437
-7.72915,50,435.008258
-7.711283,50,435.643738
-7.7193,50,436.265164
-9.838897,50,436.881483
-8.729515,50,437.493306
-11.696981,50,438.100482
-7.725232,50,438.708066
-10.84986,50,439.325567
-8.722418,50,439.989417
-8.726388,50,440.6015
-7.886351,50,441.207053
-11.735898,50,441.800027
-7.719757,50,442.40398
-9.782157,50,443.001651
-8.740146,50,443.604719
-7.781526,50,444.207325
-9.883959,50,444.816083
-9.777697,50,445.509235
-7.783737,50,446.14993
-9.739657,50,446.768277
-8.736678,50,447.365983
-7.928232,50,448.296481
-8.794925,50,448.907565
-13.831899,50,449.551933
-8.718155,50,450.256915
-9.841204,50,450.905623
-7.70998,50,451.624096
-8.806185,50,452.236236
-10.724204,50,452.869957
-7.746168,50,453.52156
-7.724706,50,454.280218
-7.827921,50,454.930331
-7.696004,50,455.680241
-9.731959,50,456.332355
-8.83052,50,456.980696
-7.72057,50,457.842097
-16.717883,50,458.640421
-7.782962,50,459.378539
-8.715703,50,460.252212
-7.748239,50,461.08762
-7.832859,50,462.046387
-8.720895,50,462.743214
-11.72012,50,463.403499
-13.719787,50,464.069138
-8.707595,50,464.691501
-14.786371,50,465.310292
-10.745386,50,465.916357
-8.744506,50,466.62203
-13.821268,50,467.235129
-7.727179,50,467.846881
-8.71956,50,468.45824
-7.774087,50,469.063767
-7.745317,50,469.673046
-9.747969,50,470.301836
-7.8313,50,471.065854
-9.858557,50,471.690415
-7.740924,50,472.302628
-7.777197,50,472.90852
-8.708309,50,473.519327
-9.767304,50,474.123636
-7.723599,50,474.737694
-8.716806,50,475.390534
-12.802069,50,476.044303
-7.721878,50,476.680895
-9.708532,50,477.326255
-9.701461,50,477.928611
-8.786049,50,478.535713
-9.784353,50,479.150377
-7.708106,50,479.764141
-10.757647,50,480.371801
-7.821418,50,480.976418
-7.895621,50,482.042793
-11.699232,50,482.674487
-9.735096,50,483.319674
-7.798113,50,484.026775
-8.773781,50,484.654786
-9.728493,50,485.292591
-7.694061,50,485.95608
-7.82026,50,486.628447
-11.871079,50,487.376227
-7.726099,50,488.099508
-9.774749,50,488.726835
-8.696764,50,489.365555
-8.720451,50,490.10874
-9.758961,50,490.789893
-8.721456,50,491.407541
-7.819354,50,492.030218
-7.718623,50,492.713489
-9.721448,50,493.388141
-7.704864,50,494.021793
-10.697392,50,494.647085
-7.728202,50,495.275718
-8.702286,50,495.990273
-7.737625,50,496.676657
-7.774265,50,497.349734
-8.723207,50,497.996433
-11.829942,50,498.611797
-8.801193,50,499.235133
-7.715061,50,499.852917
-7.703929,50,500.474549
-10.800949,50,501.090214
-7.77065,50,501.703918
-7.716894,50,502.322449
-7.845884,50,502.991395
-7.80619,50,503.609738
-10.75346,50,504.227337
-11.851556,50,504.839266
-8.83733,50,505.490834
-7.722359,50,506.13556
-7.83059,50,506.845663
-13.829376,50,507.458552
-7.740092,50,508.249951
-7.830025,50,508.860614
-9.701212,50,509.474771
-7.77518,50,510.085419
-9.722203,50,510.753008
-11.731665,50,511.395671
-7.699404,50,512.007947
-10.722846,50,512.611942
-9.884331,50,513.231076
-8.721168,50,513.899378
-7.942418,50,514.909124
-7.695505,50,515.537251
-7.72048,50,516.155128
-8.723209,50,516.771061
