#{"t_start": 1746507861.963455, "env_id": "MergeEnv-v0"}
r,l,t
0.396886,25,351.290109
0.59445,25,351.733835
-11.186363,19,352.08073
-5.948424,24,352.518628
0.58886,27,352.990492
-5.257262,23,353.399598
-0.297237,32,353.949211
-1.005132,24,354.378915
-0.214497,29,354.885234
0.509739,21,355.259175
-0.121115,26,355.716614
0.585006,19,356.060294
0.740982,19,356.401389
-0.022929,23,356.81025
-4.198518,27,357.279256
-9.408589,30,357.800434
-9.959878,22,358.191541
0.080238,24,358.61491
-0.291209,27,359.084128
-23.063065,30,359.60256
0.320239,26,360.055042
0.086813,22,360.521915
0.795264,28,361.064577
0.041404,21,361.464082
-0.166989,25,361.940511
-2.826211,25,362.388446
-9.006527,25,362.832722
-0.261538,31,363.373879
-7.494103,24,363.795826
-10.532644,28,364.279934
-8.729619,23,364.694094
-5.378754,28,365.178745
-8.833506,30,365.790006
-17.85643,33,366.355841
0.286825,22,366.750414
-3.666636,32,367.29509
-0.401938,32,367.841727
-2.897787,24,368.26579
-0.246321,31,368.810161
-8.801809,50,369.655969
-14.254929,27,370.125491
-0.960865,21,370.549139
-0.653954,29,371.04782
-8.529675,27,371.516245
0.666967,19,371.855372
-8.300315,24,372.312467
-1.924484,20,372.707271
0.540219,25,373.166743
-10.528182,32,373.719962
-0.211248,22,374.112932
0.313017,30,374.62796
-1.265256,21,374.999897
-14.314486,50,375.839032
-6.251047,25,376.281096
-1.527398,29,376.781641
-0.022706,23,377.185759
-7.546321,31,377.716439
-6.148025,23,378.11846
0.462309,22,378.516122
0.031206,30,379.039225
-2.189218,24,379.458226
0.079752,29,379.960408
0.471365,21,380.331566
-3.574556,29,380.891249
-10.790381,31,381.422057
0.27781,21,381.869596
-0.012863,27,382.337798
-7.488288,29,382.841752
-0.062247,25,383.296827
-0.152649,22,383.717611
-2.850899,31,384.262349
-3.107127,24,384.689442
-6.502735,25,385.134537
-0.228064,28,385.617361
-0.009833,20,385.972294
-0.206573,23,386.423915
-1.258893,22,386.817464
-3.261806,24,387.237451
-0.595655,30,387.754839
0.214459,29,388.252372
-0.245105,26,388.704102
-2.922097,20,389.057413
-3.363197,29,389.557819
0.560745,25,390.313998
0.477784,22,390.762121
-4.849887,24,391.199294
-8.731377,30,391.787286
0.025499,29,392.389372
0.30928,22,392.803275
-4.002828,33,393.37077
-5.858173,33,393.95072
-2.976565,29,394.565519
0.47855,27,395.080249
0.825566,20,395.450306
0.706273,19,395.798901
-11.487911,30,396.316982
0.443241,23,396.744692
-0.019238,20,397.104977
0.287448,30,397.633456
-0.412973,31,398.171957
0.170634,24,398.600032
-0.183671,22,399.001045
-2.442004,31,399.562238
-5.402063,24,399.989538
-7.720506,31,400.558878
-0.549426,30,401.211593
-0.140412,24,401.672481
0.713016,21,402.045221
-3.460202,26,402.550311
0.364892,29,403.084845
-2.516148,26,403.549745
-0.226952,22,403.945423
-5.93565,32,404.529479
-0.335891,28,405.083658
-3.52215,29,405.628058
0.239792,20,405.993835
0.633815,26,406.460944
0.301096,26,406.916085
-6.181415,22,407.306586
-5.278549,27,407.78033
-9.411845,31,408.317439
-2.435685,29,408.817869
-7.174613,31,409.361383
-3.34533,26,409.823685
-0.160195,23,410.241088
0.26836,21,410.632236
0.827961,24,411.065715
-3.337402,26,411.598717
0.301198,20,411.967412
-6.066693,27,412.451528
-3.549219,32,413.022019
-0.121402,25,413.472962
-3.36573,27,413.964736
-0.249948,28,414.476972
-6.670708,25,414.932783
-0.229483,31,415.474499
-0.925745,21,415.871935
-0.646188,20,416.269873
0.066456,23,416.685471
0.782323,19,417.034046
-3.258229,26,417.500624
-1.159024,32,418.060603
-0.045673,21,418.456871
0.584157,30,418.993886
0.007872,21,419.38957
-13.519923,28,419.898899
-0.092492,26,420.375965
0.334427,20,420.754565
-2.499015,30,421.370408
-10.79179,32,422.117661
0.642637,21,422.498793
-3.233315,26,422.967131
-7.447734,28,423.468952
-5.601541,32,424.030374
0.173325,20,424.410706
-3.358473,31,425.026174
-2.225931,30,425.565673
-2.682558,20,425.934012
0.056844,25,426.38366
-1.072444,22,426.845741
0.092769,30,427.436903
0.673587,19,427.786138
-0.253675,32,428.350871
0.69493,21,428.751099
-0.41869,31,429.30141
0.643044,19,429.665039
0.812395,19,430.033068
-2.091635,25,430.535997
-7.408386,27,431.053412
-0.052924,21,431.519211
-0.19399,31,432.085349
-2.995457,20,432.466759
-4.293113,24,432.914391
0.676188,20,433.291639
-4.220054,23,433.717756
0.829442,22,434.118173
0.281571,21,434.510643
-5.551893,30,435.048839
0.591038,19,435.404643
-12.297427,28,435.910216
-0.147561,23,436.339456
-8.113222,23,437.003744
0.273735,22,437.40926
-1.969108,25,437.914154
-2.891238,20,438.337579
-0.038037,22,438.765557
-3.24573,26,439.257589
-6.020772,21,439.725607
-0.030558,28,440.247207
0.074248,30,440.789782
-1.157686,24,441.239485
-0.196756,27,441.767
-0.014535,27,442.259883
0.768372,21,442.651408
-5.985298,29,443.179146
-0.155896,29,443.700759
-16.346859,25,444.158688
-0.138309,31,444.721638
-4.83487,21,445.112272
-12.222207,26,445.589301
0.497251,30,446.13304
-8.25774,24,446.573738
-0.121776,25,447.034185
0.648781,19,447.38806
-1.746753,24,447.828393
-1.254363,27,448.330291
-1.421661,32,448.964689
-0.095435,28,449.483918
0.260875,20,449.866131
-0.004293,23,450.334005
0.055153,22,450.79055
-0.231534,27,451.36086
-7.975903,23,451.852406
0.480106,25,452.369524
-0.081976,29,452.899099
0.254288,27,453.394105
-0.039274,30,453.938055
0.110723,25,454.406871
-6.093493,28,454.914162
0.332044,24,455.354381
-13.389206,30,455.903443
0.204148,21,456.292141
-0.152695,31,456.852962
-0.054273,25,457.310536
-8.071489,32,457.884262
0.180084,27,458.373973
-1.347464,30,458.91593
0.808573,19,459.287741
-6.265994,31,459.896562
-4.918277,26,460.374705
0.78001,22,460.799878
-9.501509,32,461.519807
0.272144,20,461.899657
0.643817,21,462.361605
0.309233,23,462.790921
0.354711,30,463.334787
-5.070326,25,463.8037
-2.042474,21,464.193219
-9.507305,33,464.788381
0.216395,20,465.160641
-0.073723,24,465.598867
-8.852948,23,466.024348
0.137464,22,466.435043
0.582995,22,466.838464
-0.176069,30,467.569907
-4.98795,22,467.978999
-6.413187,31,468.539598
0.250571,30,469.07488
-9.132751,24,469.517919
-6.437429,32,470.101778
-6.798206,25,470.601707
-0.394785,32,471.184171
0.089225,30,471.784473
0.011423,28,472.288257
-8.204664,25,472.738692
-6.102486,27,473.231988
-0.007229,22,473.633729
0.050907,22,474.03837
-0.152779,29,474.556931
